ticket_id,ticket_text,category,priority,assigned_team,sentiment,confidence,needs_human_review,summary,tags,auto_reply,reason
1,,Billing,High,Billing,Frustrated,High,False,The customer reports being charged twice for their subscription and requests an immediate refund for the extra amount.,"billing, refund, subscription, duplicate charge",We understand your concern regarding the duplicate charge. Our billing team will investigate this issue and process your refund as soon as possible.,"The customer explicitly requests a refund for a duplicate charge, indicating urgency and frustration."
2,,Account Access,High,Customer Success,Frustrated,High,False,The customer is unable to log into their account despite attempting to reset their password.,"account locked, login issue, password reset",We understand your frustration with being unable to access your account. Our team is looking into this issue and will assist you shortly.,The ticket clearly states an account access issue with urgency due to being locked out.
3,,Technical Issues,High,Technical Support,Frustrated,High,False,The customer is experiencing repeated crashes on the website when attempting to upload a document.,"website, crashing, upload, document",We apologize for the inconvenience you're experiencing with the website crashing. Our technical team is looking into this issue and will provide an update shortly.,The ticket clearly describes a technical issue with a high priority due to the nature of the problem.
4,,Billing,Medium,Billing,Neutral,High,False,The customer requests an update to their billing address.,"billing, address update",Thank you for your request. We will assist you in updating your billing address shortly.,The ticket clearly states a request for a billing address update.
5,,General Inquiry,Medium,Customer Success,Frustrated,High,False,"The customer is inquiring about the status of their order, which has not arrived and shows no tracking updates for a week.","order status, tracking, delivery issue",Thank you for reaching out. We understand your concern regarding your order's status. We will investigate this matter and update you shortly.,The ticket clearly indicates a delivery issue with a frustrated tone.
6,,General Inquiry,High,Customer Success,Frustrated,High,False,The customer is expressing frustration over inadequate support after multiple attempts to get help.,"service, support, frustration","We apologize for the inconvenience you've experienced. Your concerns are important to us, and we will escalate this issue to ensure you receive the assistance you need.",The customer clearly expresses dissatisfaction with service and support response.
7,,Billing,Medium,Billing,Frustrated,Low,True,The customer is requesting a refund.,"refund, billing, customer request",Thank you for reaching out. We understand you are requesting a refund. Please provide more details about your request so we can assist you further.,The ticket is very short and lacks specific details about the refund request.
8,,General Inquiry,Medium,Customer Success,Neutral,Low,True,The customer has requested assistance but has not provided specific details.,manual-review,Thank you for reaching out. Could you please provide more details about the assistance you need?,The ticket lacks sufficient information to determine the specific issue or request.
9,,Technical Issues,Medium,Technical Support,Frustrated,Medium,True,"The customer is experiencing performance issues with the app, specifically that it is slow.","app performance, slow, technical issue",We understand that the app's performance is not meeting your expectations. Our technical team is looking into this issue and will provide updates shortly.,The ticket indicates a performance issue but lacks detail for a confident classification.
10,,Account Access,Medium,Customer Success,Frustrated,High,False,The customer is unable to reset their password as they did not receive the reset email.,"password reset, email issue, account access","We understand that you're having trouble receiving your password reset email. Please check your spam folder, and if you still don't see it, let us know so we can assist you further.",The ticket clearly states an issue with password reset and email delivery.
11,,Account Access,Medium,Customer Success,Neutral,Medium,True,The customer is uncertain about an issue with their account.,"account, issue, uncertainty",Thank you for reaching out. We understand you have concerns about your account. Please provide more details so we can assist you better.,The ticket is vague and lacks specific details about the account issue.
12,,Billing,Medium,Billing,Frustrated,High,False,The customer is reporting an issue with their invoice displaying an incorrect amount.,"invoice, billing, incorrect amount","Thank you for reaching out. We understand that your invoice shows the wrong amount, and we will investigate this issue promptly. Please allow us some time to resolve it.",The ticket clearly indicates a billing issue with an invoice amount.
13,,Technical Issues,High,Technical Support,Frustrated,High,False,The customer is experiencing connectivity issues with the VPN following a recent update.,"VPN, connectivity, update, technical support",We understand that you're having trouble connecting to the VPN after the update. Our technical support team is looking into this issue and will get back to you shortly.,"The ticket clearly states a technical issue related to a recent update, indicating urgency."
14,,Technical Issues,Medium,Technical Support,Neutral,High,False,The customer is inquiring about the possibility of recovering accidentally deleted files.,"file recovery, technical support, data loss",Thank you for reaching out. We will look into the possibility of recovering your deleted files and get back to you shortly.,The inquiry is clear and pertains to technical support regarding file recovery.
15,,Account Access,High,Technical Support,Frustrated,High,False,"The employee portal is displaying an access denied error, indicating a potential issue with user permissions.","access denied, employee portal, permissions",We understand that you're experiencing an access denied error on the employee portal. Our technical support team is looking into this issue and will get back to you shortly.,The ticket clearly indicates a technical access issue that requires immediate attention.
16,,Billing,High,Billing,Frustrated,High,False,The customer is experiencing a payment failure despite being charged by their bank.,"payment, billing, bank charge, failed transaction",We understand your frustration regarding the payment issue. Our billing team will investigate this matter promptly and get back to you shortly.,The ticket clearly indicates a billing issue with a payment failure.
17,,Billing,Medium,Billing,Neutral,High,False,The customer has requested to cancel their subscription.,"subscription, cancellation, billing",We have received your request to cancel your subscription. Our billing team will process this shortly.,The request is clear and pertains to subscription cancellation.
18,,Technical Issues,High,Technical Support,Frustrated,Medium,True,The customer is experiencing issues with the dashboard not loading reports.,"dashboard, reports, loading issue",We understand that you're having trouble with the dashboard not loading reports. Our technical team is looking into this issue and will get back to you shortly.,"The ticket indicates a technical problem, but lacks detail for full assessment."
19,,General Inquiry,Medium,Customer Success,Neutral,Low,True,The customer is requesting a phone call for assistance.,"call request, customer support",Thank you for reaching out. We will review your request and get back to you shortly to arrange a call.,The ticket is too vague to determine the specific issue or urgency.
