ticket_id,ticket_text,category,priority,assigned_team,sentiment,confidence,needs_human_review,summary,tags,auto_reply,reason
1,nan,Billing,High,Billing,Frustrated,High,False,The customer reports being charged twice for their subscription and requests an immediate refund for the extra amount.,"billing, refund, subscription, duplicate charge",We understand your concern regarding the duplicate charge. Our billing team will investigate this issue and process your refund as soon as possible.,"The customer explicitly requests a refund for a duplicate charge, indicating urgency and frustration."
2,nan,Account Access,High,Customer Success,Frustrated,High,False,The customer is unable to log into their account despite attempting to reset their password.,"account locked, login issue, password reset",We understand your frustration with being unable to access your account. Our team is looking into this issue and will assist you shortly.,The ticket clearly states an account access issue with urgency due to being locked out.
3,nan,Technical Issues,High,Technical Support,Frustrated,High,False,The customer is experiencing repeated crashes on the website when attempting to upload a document.,"website, crashing, upload, document",We apologize for the inconvenience you're experiencing with the website crashing. Our technical team is looking into this issue and will provide an update shortly.,The ticket clearly describes a technical issue with a high priority due to the nature of the problem.
4,nan,Billing,Medium,Billing,Neutral,High,False,The customer requests an update to their billing address.,"billing, address update",Thank you for your request. We will assist you in updating your billing address shortly.,The ticket clearly states a request for a billing address update.
5,nan,General Inquiry,Medium,Customer Success,Frustrated,High,False,"The customer is inquiring about the status of their order, which has not arrived and shows no tracking updates for a week.","order status, tracking, delivery issue",Thank you for reaching out. We understand your concern regarding your order's status. We will investigate this matter and update you shortly.,The ticket clearly indicates a delivery issue with a frustrated tone.
6,nan,General Inquiry,High,Customer Success,Frustrated,High,False,The customer is expressing frustration over inadequate support after multiple attempts to get help.,"service, support, frustration","We apologize for the inconvenience you've experienced. Your concerns are important to us, and we will escalate this issue to ensure you receive the assistance you need.",The customer clearly expresses dissatisfaction with service and support response.
7,nan,Billing,Medium,Billing,Frustrated,Low,True,The customer is requesting a refund.,"refund, billing, customer request",Thank you for reaching out. We understand you are requesting a refund. Please provide more details about your request so we can assist you further.,The ticket is very short and lacks specific details about the refund request.
8,nan,General Inquiry,Medium,Customer Success,Neutral,Low,True,The customer has requested assistance but has not provided specific details.,manual-review,Thank you for reaching out. Could you please provide more details about the assistance you need?,The ticket lacks sufficient information to determine the specific issue or request.
9,nan,Technical Issues,Medium,Technical Support,Frustrated,Medium,True,"The customer is experiencing performance issues with the app, specifically that it is slow.","app performance, slow, technical issue",We understand that the app's performance is not meeting your expectations. Our technical team is looking into this issue and will provide updates shortly.,The ticket indicates a performance issue but lacks detail for a confident classification.
10,nan,Account Access,Medium,Customer Success,Frustrated,High,False,The customer is unable to reset their password as they did not receive the reset email.,"password reset, email issue, account access","We understand that you're having trouble receiving your password reset email. Please check your spam folder, and if you still don't see it, let us know so we can assist you further.",The ticket clearly states an issue with password reset and email delivery.
